emotion,original_text,text_tokens,preprocessed_text
disgust,"When my friends and I were camping in a weekend, and with little food, we met a middle age couple from a small town that invited us to eat in their house. Their house was small, badly built with old and dirty forniture and utensils. The problem was with pans, and dishes, and even the food.","['friend', 'camping', 'weekend', 'little', 'food', 'met', 'middle', 'age', 'couple', 'small', 'town', 'invited', 'eat', 'house', 'house', 'small', 'badly', 'built', 'old', 'dirty', 'forniture', 'utensil', 'problem', 'pan', 'dish', 'even', 'food']",friend camping weekend little food met middle age couple small town invited eat house house small badly built old dirty forniture utensil problem pan dish even food
shame,When I went to meet the family of my boyfriend in a party in his house. His mother was eager to know me and all his friends ready to make jokes about the situation.,"['went', 'meet', 'family', 'boyfriend', 'party', 'house', 'mother', 'eager', 'know', 'friend', 'ready', 'make', 'joke', 'situation']",went meet family boyfriend party house mother eager know friend ready make joke situation
guilt,"When I met another person I began to go out with him, and my boyfriend (with marriage accorded) met us together he did a great scandal, he broke the engagement and I began to go out with the other, and it didn't work because my mind was all mixed up.","['met', 'another', 'person', 'began', 'boyfriend', 'marriage', 'accorded', 'met', 'together', 'great', 'scandal', 'broke', 'engagement', 'began', 'didnt', 'work', 'mind', 'mixed']",met another person began boyfriend marriage accorded met together great scandal broke engagement began didnt work mind mixed
happiness,When I got a wedding ring of diamond from the boy I loved.,"['got', 'wedding', 'ring', 'diamond', 'boy', 'loved']",got wedding ring diamond boy loved
fear,"Afraid of getting alone without friends, without anybody.","['afraid', 'getting', 'alone', 'without', 'friend', 'without', 'anybody']",afraid getting alone without friend without anybody
anger,When they stole my dark blue tennis.,"['stole', 'dark', 'blue', 'tennis']",stole dark blue tennis
sadness,"When I became conscious that men don't wnat anything they don't have a goal. They have: sex, but this isn't important.","['became', 'conscious', 'men', 'dont', 'wnat', 'anything', 'dont', 'goal', 'sex', 'isnt', 'important']",became conscious men dont wnat anything dont goal sex isnt important
disgust,When I went in a clinical hospital and saw in what conditions people are attended there.,"['went', 'clinical', 'hospital', 'saw', 'condition', 'people', 'attended']",went clinical hospital saw condition people attended
shame,"In the last day of carnaval I met a boy and began to flirt with him. I was in love with him. When he introduced me to his friends I died of shame because I was with them before, I met my boyfriend in carnaval.","['last', 'day', 'carnaval', 'met', 'boy', 'began', 'flirt', 'love', 'introduced', 'friend', 'died', 'shame', 'met', 'boyfriend', 'carnaval']",last day carnaval met boy began flirt love introduced friend died shame met boyfriend carnaval
guilt,"When I didn't pass the examinations for FUVEST I felt myself guilty for I should have studied. I had the opportunities, and I drew them out.","['didnt', 'pas', 'examination', 'fuvest', 'felt', 'guilty', 'studied', 'opportunity', 'drew']",didnt pas examination fuvest felt guilty studied opportunity drew
happiness,When I met again a great friend and talked a little while with him. When I see again another I miss.,"['met', 'great', 'friend', 'talked', 'little', 'see', 'another', 'miss']",met great friend talked little see another miss
fear,"I feel afraid of the way a great friend looks at me, and also a little afraid of the directions that it's going.","['feel', 'afraid', 'way', 'great', 'friend', 'look', 'also', 'little', 'afraid', 'direction', 'going']",feel afraid way great friend look also little afraid direction going
anger,"I felt anger of a friend when she met \a date\"" and become nervous and pest as she always gets when she meets him.""","['felt', 'anger', 'friend', 'met', 'date', 'become', 'nervous', 'pest', 'always', 'get', 'meet']",felt anger friend met date become nervous pest always get meet
sadness,"When I knew almost the same day about two great friends of mine that had serious existential crisis, and mainly when I notice that I'm in the same situation that they are, but I didn't realize it.","['knew', 'almost', 'day', 'two', 'great', 'friend', 'mine', 'serious', 'existential', 'crisis', 'mainly', 'notice', 'situation', 'didnt', 'realize']",knew almost day two great friend mine serious existential crisis mainly notice situation didnt realize
disgust,"When some friends and I get acquainted a guy during vacations I thought he was disgusted and \a friend\"" of mine for whom I feel a little disgust wanted to stay with him.""","['friend', 'get', 'acquainted', 'guy', 'vacation', 'thought', 'disgusted', 'friend', 'mine', 'feel', 'little', 'disgust', 'wanted', 'stay']",friend get acquainted guy vacation thought disgusted friend mine feel little disgust wanted stay
shame,I felt shame when I had to talk with a person that I hadn't seen for many years. Shame that he wouldn't recognize me or that I wouldn't know what to say.,"['felt', 'shame', 'talk', 'person', 'hadnt', 'seen', 'many', 'year', 'shame', 'wouldnt', 'recognize', 'wouldnt', 'know', 'say']",felt shame talk person hadnt seen many year shame wouldnt recognize wouldnt know say
guilt,"When I wished secretly and lied to a friend of mine because I didn't want her to stay in my house on the beach (as she always does), and wouldn't stick on me.","['wished', 'secretly', 'lied', 'friend', 'mine', 'didnt', 'want', 'stay', 'house', 'beach', 'always', 'wouldnt', 'stick']",wished secretly lied friend mine didnt want stay house beach always wouldnt stick
happiness,When I entered University.,"['entered', 'university']",entered university
fear,I have been afraid several times. What marked me was that I almost didn't enter University.,"['afraid', 'several', 'time', 'marked', 'almost', 'didnt', 'enter', 'university']",afraid several time marked almost didnt enter university
anger,"I'm crazy about football. When my team lost a goal in the Paulist championship, and so it lost the classifications.","['crazy', 'football', 'team', 'lost', 'goal', 'paulist', 'championship', 'lost', 'classification']",crazy football team lost goal paulist championship lost classification
sadness,"When my grandmother, my second mother died.","['grandmother', 'second', 'mother', 'died']",grandmother second mother died
disgust,When a girl that I liked didn't accept my curting.,"['girl', 'liked', 'didnt', 'accept', 'curting']",girl liked didnt accept curting
shame,When I had my first sexual relation and it didn't work.,"['first', 'sexual', 'relation', 'didnt', 'work']",first sexual relation didnt work
guilt,"When my father had a serious fight with my sister, because of me.","['father', 'serious', 'fight', 'sister']",father serious fight sister
happiness,"When I met a girl and asked her for a date and she agreed, (I thought this girl would never like me), this was an emotion of joy.","['met', 'girl', 'asked', 'date', 'agreed', 'thought', 'girl', 'would', 'never', 'like', 'emotion', 'joy']",met girl asked date agreed thought girl would never like emotion joy
fear,"The same fact about the girl (22 years, married - guilt - disgust), the fear was the main factor in our relationship.","['fact', 'girl', 'year', 'married', 'guilt', 'disgust', 'fear', 'main', 'factor', 'relationship']",fact girl year married guilt disgust fear main factor relationship
anger,About the car (sadness) I felt anger the way I acted after negotiating it.,"['car', 'sadness', 'felt', 'anger', 'way', 'acted', 'negotiating']",car sadness felt anger way acted negotiating
sadness,To buy a car and didn't like the business and the car.,"['buy', 'car', 'didnt', 'like', 'business', 'car']",buy car didnt like business car
disgust,"I met a girl (22 years old), married. I liked her. I asked her for a date and I kissed her. I discovered that she lived nearby where I passed every day. I got amused thinking that her husband would be ... or me . I didn't talked to her anymore.","['met', 'girl', 'year', 'old', 'married', 'liked', 'asked', 'date', 'kissed', 'discovered', 'lived', 'nearby', 'passed', 'every', 'day', 'got', 'amused', 'thinking', 'husband', 'would', 'didnt', 'talked', 'anymore']",met girl year old married liked asked date kissed discovered lived nearby passed every day got amused thinking husband would didnt talked anymore
shame,"When my mother looked in my drawer (where I keep my personal things) and she found some porno photos that I have kept from more than a week, and split it.","['mother', 'looked', 'drawer', 'keep', 'personal', 'thing', 'found', 'porno', 'photo', 'kept', 'week', 'split']",mother looked drawer keep personal thing found porno photo kept week split
guilt,"About the girl (22 years, married) I felt guilty of the relationship.","['girl', 'year', 'married', 'felt', 'guilty', 'relationship']",girl year married felt guilty relationship
happiness,I felt joy when I red my name in the list of the approved in the entrance college examination.,"['felt', 'joy', 'red', 'name', 'list', 'approved', 'entrance', 'college', 'examination']",felt joy red name list approved entrance college examination
fear,"I was visiting my parents in law when the house was invaded by three strange men, and they committed an armed assault.","['visiting', 'parent', 'law', 'house', 'invaded', 'three', 'strange', 'men', 'committed', 'armed', 'assault']",visiting parent law house invaded three strange men committed armed assault
anger,"Nearby the end of the year my wife and I were having a car ride, when it appears another vehicle, driven by a drunk driver and provokes an accident.","['nearby', 'end', 'year', 'wife', 'car', 'ride', 'appears', 'another', 'vehicle', 'driven', 'drunk', 'driver', 'provokes', 'accident']",nearby end year wife car ride appears another vehicle driven drunk driver provokes accident
happiness,"To have a friend who I didn't see for months, and under the circumstances that I met him made me feel happy, and perhaps because it has been one of the good things that I learned with this friend.","['friend', 'didnt', 'see', 'month', 'circumstance', 'met', 'made', 'feel', 'happy', 'perhaps', 'one', 'good', 'thing', 'learned', 'friend']",friend didnt see month circumstance met made feel happy perhaps one good thing learned friend
fear,"When I left a carnaval ball at 4 o'clock a.m. I was alone in a foreign city and I had to go back home, when a guy appeared and tried to \catch me\"".""","['left', 'carnaval', 'ball', 'oclock', 'alone', 'foreign', 'city', 'back', 'home', 'guy', 'appeared', 'tried', 'catch']",left carnaval ball oclock alone foreign city back home guy appeared tried catch
anger,The fact that I hadn't been informed about something and I had the greatest trust in this person.,"['fact', 'hadnt', 'informed', 'something', 'greatest', 'trust', 'person']",fact hadnt informed something greatest trust person
sadness,"A friend of mine lent me his apartment for holidays and besides this he was a fine person. Months later I knew that he died tragically in a moto accident. He was very young, and I felt sad and couldn't believe it (until today).","['friend', 'mine', 'lent', 'apartment', 'holiday', 'besides', 'fine', 'person', 'month', 'later', 'knew', 'died', 'tragically', 'moto', 'accident', 'young', 'felt', 'sad', 'couldnt', 'believe', 'today']",friend mine lent apartment holiday besides fine person month later knew died tragically moto accident young felt sad couldnt believe today
disgust,In contact with a poor family of northeast it was offered to me a crab to eat at my request. But the fact that this crab was prepared antihygienically and his appearence was also antihygienically it caused me disgust but I ate it anyway.,"['contact', 'poor', 'family', 'northeast', 'offered', 'crab', 'eat', 'request', 'fact', 'crab', 'prepared', 'antihygienically', 'appearence', 'also', 'antihygienically', 'caused', 'disgust', 'ate', 'anyway']",contact poor family northeast offered crab eat request fact crab prepared antihygienically appearence also antihygienically caused disgust ate anyway
shame,It was my birthday and all the members of the group made me a surprise in a public place at 10 p.m. giving me flowers and suvenirs.,"['birthday', 'member', 'group', 'made', 'surprise', 'public', 'place', 'giving', 'flower', 'suvenirs']",birthday member group made surprise public place giving flower suvenirs
guilt,"Attending to a demand made by a client (I work in a bank) I suggested her an application of money in a week ahead, but I informed her wrongly. The client arrived a week after and the application wasn't made and she lost with this a lot of time and money.","['attending', 'demand', 'made', 'client', 'work', 'bank', 'suggested', 'application', 'money', 'week', 'ahead', 'informed', 'wrongly', 'client', 'arrived', 'week', 'application', 'wasnt', 'made', 'lost', 'lot', 'time', 'money']",attending demand made client work bank suggested application money week ahead informed wrongly client arrived week application wasnt made lost lot time money
happiness,"When, after a long time of searching I got my first job.","['long', 'time', 'searching', 'got', 'first', 'job']",long time searching got first job
fear,After some time of work I was transferred to another place and in an other quite harder job.,"['time', 'work', 'transferred', 'another', 'place', 'quite', 'harder', 'job']",time work transferred another place quite harder job
anger,"When I used to go to my chief asking about any doubt about the job and he didn't care, didn't answer me, leaving me speaking alone.","['used', 'chief', 'asking', 'doubt', 'job', 'didnt', 'care', 'didnt', 'answer', 'leaving', 'speaking', 'alone']",used chief asking doubt job didnt care didnt answer leaving speaking alone
sadness,"When I knew that a person that I liked very much didn't react the way I would like to, even that I knew about his feelings for me.","['knew', 'person', 'liked', 'much', 'didnt', 'react', 'way', 'would', 'like', 'even', 'knew', 'feeling']",knew person liked much didnt react way would like even knew feeling
disgust,"When I knew that a person who I didn't like, had about me other feelings.","['knew', 'person', 'didnt', 'like', 'feeling']",knew person didnt like feeling
shame,"After lot of explanation, to fail in my work.","['lot', 'explanation', 'fail', 'work']",lot explanation fail work
guilt,My brother and I were at home watching a TV program when I started to tease  him and in this joke I hurt him without knowing the seriousness of it I went on. He got angry and gave it back to me. At this moment I felt anger at him but knowing that it was my fault.,"['brother', 'home', 'watching', 'program', 'started', 'tease', 'joke', 'hurt', 'without', 'knowing', 'seriousness', 'went', 'got', 'angry', 'gave', 'back', 'moment', 'felt', 'anger', 'knowing', 'fault']",brother home watching program started tease joke hurt without knowing seriousness went got angry gave back moment felt anger knowing fault
happiness,When a person that I like very much got near to me.,"['person', 'like', 'much', 'got', 'near']",person like much got near
fear,"I was at home alone, and heard noises on the roof, and doorknobs, and drawers.","['home', 'alone', 'heard', 'noise', 'roof', 'doorknob', 'drawer']",home alone heard noise roof doorknob drawer
anger,"When a person is privileged in account of situations that are unjust, and disloyal to colleagues and friends.","['person', 'privileged', 'account', 'situation', 'unjust', 'disloyal', 'colleague', 'friend']",person privileged account situation unjust disloyal colleague friend
sadness,"When I was betrayed by a friend, and decided to stay apart form her.","['betrayed', 'friend', 'decided', 'stay', 'apart', 'form']",betrayed friend decided stay apart form
disgust,After a serie of facts that occurred between a colleague and me I started to feel a certain necessity to get apart and I didn't want to see her anymore.,"['serie', 'fact', 'occurred', 'colleague', 'started', 'feel', 'certain', 'necessity', 'get', 'apart', 'didnt', 'want', 'see', 'anymore']",serie fact occurred colleague started feel certain necessity get apart didnt want see anymore
shame,"I went to study in a public library but I didn't know it well. I got a book and wanted to study hearing music. Then I went to a place were I could do it, but when I passed by a door a bell rang and a man came saying that I couldn't leave with the book.","['went', 'study', 'public', 'library', 'didnt', 'know', 'well', 'got', 'book', 'wanted', 'study', 'hearing', 'music', 'went', 'place', 'could', 'passed', 'door', 'bell', 'rang', 'man', 'came', 'saying', 'couldnt', 'leave', 'book']",went study public library didnt know well got book wanted study hearing music went place could passed door bell rang man came saying couldnt leave book
guilt,I broke the gutar of a colleague but as it happened in a moment when nobody was present I could escape from the guilt.,"['broke', 'gutar', 'colleague', 'happened', 'moment', 'nobody', 'present', 'could', 'escape', 'guilt']",broke gutar colleague happened moment nobody present could escape guilt
happiness,"I made the college entrance examinations for P.U.C. It was what I wanted more. When the first list came out I got frustrated. I wasn't in. When the second list came out without hopes I started to read the newspaper and my name was thre. I was in the bus and felt like crying so that everybody could hear me. The cry was hold, and 1982 became forever a mask in my life.","['made', 'college', 'entrance', 'examination', 'puc', 'wanted', 'first', 'list', 'came', 'got', 'frustrated', 'wasnt', 'second', 'list', 'came', 'without', 'hope', 'started', 'read', 'newspaper', 'name', 'thre', 'bus', 'felt', 'like', 'cry', 'everybody', 'could', 'hear', 'cry', 'hold', '1982', 'became', 'forever', 'mask', 'life']",made college entrance examination puc wanted first list came got frustrated wasnt second list came without hope started read newspaper name thre bus felt like cry everybody could hear cry hold 1982 became forever mask life
fear,I remember when I was a child of a storm that made me terribly afraid. I thought that the house was coming down and that in the next day I would be dead. Everybody was awake and I stayed all night in bed without falling asleep.,"['remember', 'child', 'storm', 'made', 'terribly', 'afraid', 'thought', 'house', 'coming', 'next', 'day', 'would', 'dead', 'everybody', 'awake', 'stayed', 'night', 'bed', 'without', 'falling', 'asleep']",remember child storm made terribly afraid thought house coming next day would dead everybody awake stayed night bed without falling asleep
anger,Once in my work it happened a fight between the person in charge and me. I got so angry and spoke out everything I felt at the moment.,"['work', 'happened', 'fight', 'person', 'charge', 'got', 'angry', 'spoke', 'everything', 'felt', 'moment']",work happened fight person charge got angry spoke everything felt moment
sadness,"I remember the day my father died. I was 11 years old and my sadness was so great that until today I remember everything about that day, from the clothes I was wearing to the reactions of people, the despair of my mother and brother. It marked me a lot and was the greatest sadness I felt.","['remember', 'day', 'father', 'died', 'year', 'old', 'sadness', 'great', 'today', 'remember', 'everything', 'day', 'clothes', 'wearing', 'reaction', 'people', 'despair', 'mother', 'brother', 'marked', 'lot', 'greatest', 'sadness', 'felt']",remember day father died year old sadness great today remember everything day clothes wearing reaction people despair mother brother marked lot greatest sadness felt
disgust,"I was sitting in school, waiting for my sister to go home. Suddenly a boy put fire in a paper and threw it were I was sitting. The paper didn't get me, but I felt terribly disgusted at this cowardliness and irresponsibility that caused a great discussion. We went to the director and he, drunk as always, said that I was ... attention in school. I felt disgust of this situation, and of the persons implicated in it.","['sitting', 'school', 'waiting', 'sister', 'home', 'suddenly', 'boy', 'put', 'fire', 'paper', 'threw', 'sitting', 'paper', 'didnt', 'get', 'felt', 'terribly', 'disgusted', 'cowardliness', 'irresponsibility', 'caused', 'great', 'discussion', 'went', 'director', 'drunk', 'always', 'said', 'attention', 'school', 'felt', 'disgust', 'situation', 'person', 'implicated']",sitting school waiting sister home suddenly boy put fire paper threw sitting paper didnt get felt terribly disgusted cowardliness irresponsibility caused great discussion went director drunk always said attention school felt disgust situation person implicated
shame,Some times I was ashamed of presenting seminaries or even to speak in class.,"['time', 'ashamed', 'presenting', 'seminary', 'even', 'speak', 'class']",time ashamed presenting seminary even speak class
guilt,"In adolescence I had a very violent fight with my sister I hold her stong in her neck, she had a throat surgery what make me feel guilty about the future reactions she might had injuring the surgery.","['adolescence', 'violent', 'fight', 'sister', 'hold', 'stong', 'neck', 'throat', 'surgery', 'make', 'feel', 'guilty', 'future', 'reaction', 'might', 'injuring', 'surgery']",adolescence violent fight sister hold stong neck throat surgery make feel guilty future reaction might injuring surgery
happiness,"The day I received the key of my apartment and we could enter in it, for my fiancT and I had bought it yet in plans, and it seemed to us that this was almost impossible to happen.","['day', 'received', 'key', 'apartment', 'could', 'enter', 'fianct', 'bought', 'yet', 'plan', 'seemed', 'almost', 'impossible', 'happen']",day received key apartment could enter fianct bought yet plan seemed almost impossible happen
fear,"I had a driver licence but I didn't drive for a long time, than I started to drive again, and had to get into hard transit and highways.","['driver', 'licence', 'didnt', 'drive', 'long', 'time', 'started', 'drive', 'get', 'hard', 'transit', 'highway']",driver licence didnt drive long time started drive get hard transit highway
anger,"When my boss cut off my vacations saying that in that month it wouldn't be possible, and after some time he let another girl take vacations that month. The anger was because of the resentment. Resulting from our bad relationship.","['bos', 'cut', 'vacation', 'saying', 'month', 'wouldnt', 'possible', 'time', 'let', 'another', 'girl', 'take', 'vacation', 'month', 'anger', 'resentment', 'resulting', 'bad', 'relationship']",bos cut vacation saying month wouldnt possible time let another girl take vacation month anger resentment resulting bad relationship
sadness,My fiancT's family was adopting a 5 years old boy. I felt myself close to him as I never felt before. After some time his mother demanded the care of the kid and we were obliged to send him back.,"['fiancts', 'family', 'adopting', 'year', 'old', 'boy', 'felt', 'close', 'never', 'felt', 'time', 'mother', 'demanded', 'care', 'kid', 'obliged', 'send', 'back']",fiancts family adopting year old boy felt close never felt time mother demanded care kid obliged send back
disgust,"There is a girl at my work that doesn't take care much of her hygiene she comes always with her hair oiled, a not very agreable smell, and a bad appearance. Beside this she tries to be nice.","['girl', 'work', 'doesnt', 'take', 'care', 'much', 'hygiene', 'come', 'always', 'hair', 'oiled', 'agreable', 'smell', 'bad', 'appearance', 'beside', 'try', 'nice']",girl work doesnt take care much hygiene come always hair oiled agreable smell bad appearance beside try nice
shame,"A day I was with my boyfriend and a couple of friends in a bar, and he said something that I didn't like (I don't remember what). Without thinking I slept him in his back, getting ashamed and sorry just after.","['day', 'boyfriend', 'couple', 'friend', 'bar', 'said', 'something', 'didnt', 'like', 'dont', 'remember', 'without', 'thinking', 'slept', 'back', 'getting', 'ashamed', 'sorry']",day boyfriend couple friend bar said something didnt like dont remember without thinking slept back getting ashamed sorry
guilt,"When I was starting in romance with my husband, we went out to curt, and we stayed in the car \making love\"". At the time I was seventeen and I was very immature until a day I lost my virginity.""","['starting', 'romance', 'husband', 'went', 'curt', 'stayed', 'car', 'making', 'love', 'time', 'seventeen', 'immature', 'day', 'lost', 'virginity']",starting romance husband went curt stayed car making love time seventeen immature day lost virginity
happiness,It was when a friend took me to a place and gave me as a gift my astrologycal map with the explanations of a psychologist.,"['friend', 'took', 'place', 'gave', 'gift', 'astrologycal', 'map', 'explanation', 'psychologist']",friend took place gave gift astrologycal map explanation psychologist
fear,"When I was dreaming that I was being chased, in the upmost of horror the door of the closed felt down synchronicaly with the dream scare.","['dreaming', 'chased', 'upmost', 'horror', 'door', 'closed', 'felt', 'synchronicaly', 'dream', 'scare']",dreaming chased upmost horror door closed felt synchronicaly dream scare
anger,"When my mother slapped me in the face, I felt anger at that moment.","['mother', 'slapped', 'face', 'felt', 'anger', 'moment']",mother slapped face felt anger moment
sadness,When I deeply felt that I could lose the person I love best because of my foolishness.,"['deeply', 'felt', 'could', 'lose', 'person', 'love', 'best', 'foolishness']",deeply felt could lose person love best foolishness
disgust,I felt disgust toward meat when I felt sick with the steak after a week only on meat.,"['felt', 'disgust', 'toward', 'meat', 'felt', 'sick', 'steak', 'week', 'meat']",felt disgust toward meat felt sick steak week meat
shame,When I had to act alone a character for a public (40 people).,"['act', 'alone', 'character', 'public', 'people']",act alone character public people
guilt,When I stared to much at a pastry that a woman was eating and at the same instant the pastry felt on the floor.,"['stared', 'much', 'pastry', 'woman', 'eating', 'instant', 'pastry', 'felt', 'floor']",stared much pastry woman eating instant pastry felt floor
happiness,"In a day when at work, in school, and relationships came out as I wanted, and I was recognized in my work.","['day', 'work', 'school', 'relationship', 'came', 'wanted', 'recognized', 'work']",day work school relationship came wanted recognized work
fear,"When I woke up in the middle of the night because of a dream, it wasn't a nightmare, it was an uninteligible dream in wich I woke because of a certain end.","['woke', 'middle', 'night', 'dream', 'wasnt', 'nightmare', 'uninteligible', 'dream', 'wich', 'woke', 'certain', 'end']",woke middle night dream wasnt nightmare uninteligible dream wich woke certain end
anger,When I was robbed in a bus.,"['robbed', 'bus']",robbed bus
sadness,When I try to get closer at a person and she misinterpreted me.,"['try', 'get', 'closer', 'person', 'misinterpreted']",try get closer person misinterpreted
disgust,When I felt the smell of industries that pollute.,"['felt', 'smell', 'industry', 'pollute']",felt smell industry pollute
shame,"When somebody I knew greeted me and started to talk with me and I didn't know, I couldn't remember who he was.","['somebody', 'knew', 'greeted', 'started', 'talk', 'didnt', 'know', 'couldnt', 'remember']",somebody knew greeted started talk didnt know couldnt remember
guilt,When I unjustly accused a person of my family of something she didn't really do.,"['unjustly', 'accused', 'person', 'family', 'something', 'didnt', 'really']",unjustly accused person family something didnt really
happiness,"I was travelling in the South of Brasil, near the end of the year. I was well settled with 3 friends. At the evening of 31 M., somebody, also with us, took from his purse pints of all colours, and the 4 of us, and other friends, that were at the same beach, painted each other and we went to the beach with champagne.","['travelling', 'south', 'brasil', 'near', 'end', 'year', 'well', 'settled', 'friend', 'evening', 'somebody', 'also', 'took', 'purse', 'pint', 'colour', 'friend', 'beach', 'painted', 'went', 'beach', 'champagne']",travelling south brasil near end year well settled friend evening somebody also took purse pint colour friend beach painted went beach champagne
fear,"I was walking from my friend's house, a few blocks from my house, when a car began to follow me. He waited I passed by it rotateed a little and stopped on my way. I changed completely my way and the car went on following me until I turned at a corner and running I hid in a garden of a house, waiting for the car to pass by. I went back home terribly afraid.","['walking', 'friend', 'house', 'block', 'house', 'car', 'began', 'follow', 'waited', 'passed', 'rotateed', 'little', 'stopped', 'way', 'changed', 'completely', 'way', 'car', 'went', 'following', 'turned', 'corner', 'running', 'hid', 'garden', 'house', 'waiting', 'car', 'pas', 'went', 'back', 'home', 'terribly', 'afraid']",walking friend house block house car began follow waited passed rotateed little stopped way changed completely way car went following turned corner running hid garden house waiting car pas went back home terribly afraid
anger,"One day I lent my tennis I just had washed to my sister because she asked it. I asked her not to soil it as I had just washed it. Next day I looked at the tennis, and it was dirty with wax. She could not have soiled it. It was lack of consideration. I felt very angry.","['one', 'day', 'lent', 'tennis', 'washed', 'sister', 'asked', 'asked', 'soil', 'washed', 'next', 'day', 'looked', 'tennis', 'dirty', 'wax', 'could', 'soiled', 'lack', 'consideration', 'felt', 'angry']",one day lent tennis washed sister asked asked soil washed next day looked tennis dirty wax could soiled lack consideration felt angry
sadness,The second time I went to the entrance exam to V.S.P. and didn't get approved.,"['second', 'time', 'went', 'entrance', 'exam', 'vsp', 'didnt', 'get', 'approved']",second time went entrance exam vsp didnt get approved
disgust,"I was travelling, we were 15 person, one of them I met at the travel and didn't like her. One night I was asleep while she and her friends were talking too loud in the kitchen. I got up to ask for silence and since that day I felt constant disgust for her.","['travelling', 'person', 'one', 'met', 'travel', 'didnt', 'like', 'one', 'night', 'asleep', 'friend', 'talking', 'loud', 'kitchen', 'got', 'ask', 'silence', 'since', 'day', 'felt', 'constant', 'disgust']",travelling person one met travel didnt like one night asleep friend talking loud kitchen got ask silence since day felt constant disgust
shame,"I was working in I. when a friend of mine borrowed his car so I could get bach there, I had to come to S.Paulo and his car was here. He said :\When you get the car tell my mother that you are only taking the car bacause I asked, for she doesn't like me to borrow it\"". Next day he borrowed me it again for I had to come back again. When I was coming back I crashed the car quite a lot. One of the first person I met at the accident was his mother, that said to me \""You weren't to take the car only yesterday ?\"" (before I saw her I was already ashamed).""","['working', 'friend', 'mine', 'borrowed', 'car', 'could', 'get', 'bach', 'come', 'spaulo', 'car', 'said', 'get', 'car', 'tell', 'mother', 'taking', 'car', 'bacause', 'asked', 'doesnt', 'like', 'borrow', 'next', 'day', 'borrowed', 'come', 'back', 'coming', 'back', 'crashed', 'car', 'quite', 'lot', 'one', 'first', 'person', 'met', 'accident', 'mother', 'said', 'werent', 'take', 'car', 'yesterday', 'saw', 'already', 'ashamed']",working friend mine borrowed car could get bach come spaulo car said get car tell mother taking car bacause asked doesnt like borrow next day borrowed come back coming back crashed car quite lot one first person met accident mother said werent take car yesterday saw already ashamed
guilt,"I had a date with a boy, but I didn't feel liked, and didn't go, I wasn't home purposely at the time we arranged.","['date', 'boy', 'didnt', 'feel', 'liked', 'didnt', 'wasnt', 'home', 'purposely', 'time', 'arranged']",date boy didnt feel liked didnt wasnt home purposely time arranged
happiness,"A friend of mine that is abroad undertook recently an axam to enter on University in Dallas, and was approved.","['friend', 'mine', 'abroad', 'undertook', 'recently', 'axam', 'enter', 'university', 'dallas', 'approved']",friend mine abroad undertook recently axam enter university dallas approved
fear,I felt afraid of losing somebody I love to another person because I was an incomprehensive person and lots of time I fight with this person.,"['felt', 'afraid', 'losing', 'somebody', 'love', 'another', 'person', 'incomprehensive', 'person', 'lot', 'time', 'fight', 'person']",felt afraid losing somebody love another person incomprehensive person lot time fight person
anger,In certain occasion I have a fight with my boyfriend. During the fight I closed the door at his face. He went away but came back next day.,"['certain', 'occasion', 'fight', 'boyfriend', 'fight', 'closed', 'door', 'face', 'went', 'away', 'came', 'back', 'next', 'day']",certain occasion fight boyfriend fight closed door face went away came back next day
sadness,"Last year, when I took the college entrance examinations I failed the FUVEST. It was for me the most frustrating situation because I had studied all year long, and only thought about this.","['last', 'year', 'took', 'college', 'entrance', 'examination', 'failed', 'fuvest', 'frustrating', 'situation', 'studied', 'year', 'long', 'thought']",last year took college entrance examination failed fuvest frustrating situation studied year long thought
disgust,In a certain occasion I saw a dog in the street eating something so strange gooey that I wasn't able to eat lunch because I remembered the scene all the time.,"['certain', 'occasion', 'saw', 'dog', 'street', 'eating', 'something', 'strange', 'gooey', 'wasnt', 'able', 'eat', 'lunch', 'remembered', 'scene', 'time']",certain occasion saw dog street eating something strange gooey wasnt able eat lunch remembered scene time
shame,"I had never made a malicious joke in front of my boyfriend. Last week I did it I was funny, he loved it, and I died of shame.","['never', 'made', 'malicious', 'joke', 'front', 'boyfriend', 'last', 'week', 'funny', 'loved', 'died', 'shame']",never made malicious joke front boyfriend last week funny loved died shame
guilt,"When my parents fight lots of time, when I'm the reason of the fight, I feel guilty.","['parent', 'fight', 'lot', 'time', 'reason', 'fight', 'feel', 'guilty']",parent fight lot time reason fight feel guilty
happiness,When I knew about my first job.,"['knew', 'first', 'job']",knew first job
fear,When I was just to be divorced.,['divorced'],divorced
anger,My mother in law slept in my bed.,"['mother', 'law', 'slept', 'bed']",mother law slept bed
fear,A terrible fight that I provoked with my friend.,"['terrible', 'fight', 'provoked', 'friend']",terrible fight provoked friend
anger,In the last year of the high school we had a huge fight between my group and the graduation commission (two students of my classroom) because they accused us unjustly of a gossip about them.,"['last', 'year', 'high', 'school', 'huge', 'fight', 'group', 'graduation', 'commission', 'two', 'student', 'classroom', 'accused', 'unjustly', 'gossip']",last year high school huge fight group graduation commission two student classroom accused unjustly gossip
sadness,When I was 10/11 years old my father travelled very much for his work (he passed three months away from home).,"['1011', 'year', 'old', 'father', 'travelled', 'much', 'work', 'passed', 'three', 'month', 'away', 'home']",1011 year old father travelled much work passed three month away home
